epoch,batch,batch_loss,elapsed_s,data_wait_s,compute_s,timestamp_utc
1,50,-9.195315,153.6,0.89,2.19,2026-06-18T02:20:36:00Z
1,100,-10.437678,207.5,0.44,1.63,2026-06-18T02:21:29:00Z
1,150,-11.959148,261.4,0.3,1.45,2026-06-18T02:22:23:00Z
1,200,-13.267526,315.3,0.22,1.35,2026-06-18T02:23:17:00Z
1,250,-15.780993,369.3,0.18,1.3,2026-06-18T02:24:11:00Z
1,300,-16.328285,423.1,0.15,1.26,2026-06-18T02:25:05:00Z
1,350,-17.740955,477.0,0.13,1.24,2026-06-18T02:25:59:00Z
1,400,-17.138315,530.8,0.11,1.22,2026-06-18T02:26:53:00Z
1,450,-17.482357,584.7,0.1,1.2,2026-06-18T02:27:47:00Z
1,500,-18.532438,638.6,0.09,1.19,2026-06-18T02:28:41:00Z
1,550,-18.251352,692.4,0.08,1.18,2026-06-18T02:29:34:00Z
1,600,-19.122639,746.4,0.07,1.17,2026-06-18T02:30:28:00Z
1,650,-18.837355,800.3,0.07,1.16,2026-06-18T02:31:22:00Z
1,700,-18.959156,854.2,0.06,1.16,2026-06-18T02:32:16:00Z
1,750,-18.556782,908.1,0.06,1.15,2026-06-18T02:33:10:00Z
1,800,-19.426937,962.1,0.06,1.15,2026-06-18T02:34:04:00Z
1,850,-19.722157,1015.9,0.05,1.14,2026-06-18T02:34:58:00Z
1,900,-18.948021,1069.8,0.05,1.14,2026-06-18T02:35:52:00Z
1,950,-18.976767,1123.8,0.05,1.14,2026-06-18T02:36:46:00Z
1,1000,-19.621195,1177.6,0.04,1.13,2026-06-18T02:37:40:00Z
1,1050,-20.517015,1231.5,0.04,1.13,2026-06-18T02:38:33:00Z
1,1100,-19.708433,1285.4,0.04,1.13,2026-06-18T02:39:27:00Z
1,1150,-19.269691,1339.4,0.04,1.13,2026-06-18T02:40:21:00Z
1,1200,-19.558517,1393.2,0.04,1.12,2026-06-18T02:41:15:00Z
1,1250,-19.443035,1447.1,0.04,1.12,2026-06-18T02:42:09:00Z
1,1300,-19.205576,1501.0,0.03,1.12,2026-06-18T02:43:03:00Z
1,1350,-19.906122,1554.9,0.03,1.12,2026-06-18T02:43:57:00Z
1,1400,-19.180681,1608.8,0.03,1.12,2026-06-18T02:44:51:00Z
1,1450,-19.225473,1662.6,0.03,1.12,2026-06-18T02:45:45:00Z
1,1500,-18.512199,1716.4,0.03,1.11,2026-06-18T02:46:38:00Z
2,50,-20.499392,61.7,1.06,35.11,2026-06-18T02:48:11:00Z
2,100,-20.47533,115.7,0.53,18.1,2026-06-18T02:49:05:00Z
2,150,-19.36409,169.6,0.35,12.42,2026-06-18T02:49:58:00Z
2,200,-19.361542,223.5,0.26,9.59,2026-06-18T02:50:52:00Z
2,250,-19.767942,277.4,0.21,7.89,2026-06-18T02:51:46:00Z
2,300,-19.646873,331.3,0.18,6.75,2026-06-18T02:52:40:00Z
2,350,-19.529814,385.2,0.15,5.94,2026-06-18T02:53:34:00Z
2,400,-20.123461,439.1,0.13,5.33,2026-06-18T02:54:28:00Z
2,450,-20.089079,493.1,0.12,4.86,2026-06-18T02:55:22:00Z
2,500,-20.465687,547.0,0.11,4.48,2026-06-18T02:56:16:00Z
2,550,-20.130331,600.9,0.1,4.17,2026-06-18T02:57:10:00Z
2,600,-20.060183,654.8,0.09,3.91,2026-06-18T02:58:04:00Z
2,650,-20.520142,708.7,0.08,3.7,2026-06-18T02:58:58:00Z
2,700,-21.034245,762.6,0.08,3.51,2026-06-18T02:59:51:00Z
2,750,-20.930195,816.5,0.07,3.35,2026-06-18T03:00:45:00Z
2,800,-20.562042,870.4,0.07,3.21,2026-06-18T03:01:39:00Z
2,850,-19.667181,924.4,0.06,3.08,2026-06-18T03:02:33:00Z
2,900,-19.340349,978.2,0.06,2.97,2026-06-18T03:03:27:00Z
2,950,-19.052155,1032.2,0.06,2.87,2026-06-18T03:04:21:00Z
2,1000,-20.471836,1086.1,0.05,2.78,2026-06-18T03:05:15:00Z
2,1050,-20.368694,1140.1,0.05,2.7,2026-06-18T03:06:09:00Z
2,1100,-20.34918,1194.0,0.05,2.62,2026-06-18T03:07:03:00Z
2,1150,-19.521683,1247.9,0.05,2.56,2026-06-18T03:07:57:00Z
2,1200,-20.018944,1301.8,0.04,2.5,2026-06-18T03:08:51:00Z
2,1250,-20.779327,1355.7,0.04,2.44,2026-06-18T03:09:45:00Z
2,1300,-19.617641,1409.6,0.04,2.39,2026-06-18T03:10:38:00Z
2,1350,-21.121199,1463.5,0.04,2.34,2026-06-18T03:11:32:00Z
2,1400,-19.886072,1517.4,0.04,2.29,2026-06-18T03:12:26:00Z
2,1450,-20.66441,1571.3,0.04,2.25,2026-06-18T03:13:20:00Z
2,1500,-20.767973,1625.2,0.04,2.21,2026-06-18T03:14:14:00Z
3,50,-20.611446,60.6,1.21,67.5,2026-06-18T03:15:17:00Z
3,100,-20.335869,114.5,0.6,34.29,2026-06-18T03:16:11:00Z
3,150,-21.459869,168.4,0.4,23.22,2026-06-18T03:17:05:00Z
3,200,-19.86689,222.3,0.3,17.68,2026-06-18T03:17:59:00Z
3,250,-20.550606,276.2,0.24,14.36,2026-06-18T03:18:53:00Z
3,300,-20.383505,330.1,0.2,12.15,2026-06-18T03:19:47:00Z
3,350,-21.237612,384.0,0.17,10.57,2026-06-18T03:20:41:00Z
3,400,-20.342031,437.9,0.15,9.38,2026-06-18T03:21:35:00Z
3,450,-19.70957,491.8,0.13,8.46,2026-06-18T03:22:28:00Z
3,500,-20.079462,545.7,0.12,7.72,2026-06-18T03:23:22:00Z
3,550,-20.434803,599.5,0.11,7.12,2026-06-18T03:24:16:00Z
3,600,-21.333647,653.5,0.1,6.61,2026-06-18T03:25:10:00Z
3,650,-21.351522,707.4,0.09,6.19,2026-06-18T03:26:04:00Z
3,700,-19.385736,761.3,0.09,5.82,2026-06-18T03:26:58:00Z
3,750,-20.850794,815.2,0.08,5.51,2026-06-18T03:27:52:00Z
3,800,-21.241894,869.0,0.08,5.23,2026-06-18T03:28:46:00Z
3,850,-20.386374,922.9,0.07,4.98,2026-06-18T03:29:40:00Z
3,900,-21.138062,976.9,0.07,4.77,2026-06-18T03:30:33:00Z
3,950,-19.871815,1030.8,0.06,4.57,2026-06-18T03:31:27:00Z
3,1000,-21.034843,1084.7,0.06,4.4,2026-06-18T03:32:21:00Z
3,1050,-20.96129,1138.5,0.06,4.24,2026-06-18T03:33:15:00Z
3,1100,-20.759588,1192.4,0.06,4.1,2026-06-18T03:34:09:00Z
3,1150,-20.729137,1246.3,0.05,3.97,2026-06-18T03:35:03:00Z
3,1200,-20.309464,1300.2,0.05,3.84,2026-06-18T03:35:57:00Z
3,1250,-21.03159,1354.1,0.05,3.73,2026-06-18T03:36:51:00Z
3,1300,-20.644123,1408.0,0.05,3.63,2026-06-18T03:37:45:00Z
3,1350,-20.4,1461.9,0.05,3.54,2026-06-18T03:38:39:00Z
3,1400,-20.794075,1515.8,0.04,3.45,2026-06-18T03:39:32:00Z
3,1450,-21.073296,1569.7,0.04,3.37,2026-06-18T03:40:26:00Z
3,1500,-21.245857,1623.5,0.04,3.29,2026-06-18T03:41:20:00Z
4,50,-20.431358,61.4,1.37,99.87,2026-06-18T03:42:24:00Z
4,100,-21.687317,115.3,0.68,50.47,2026-06-18T03:43:18:00Z
4,150,-20.474585,169.3,0.46,34.01,2026-06-18T03:44:12:00Z
4,200,-20.982668,223.1,0.34,25.78,2026-06-18T03:45:06:00Z
4,250,-21.358883,277.0,0.27,20.84,2026-06-18T03:46:00:00Z
4,300,-20.540974,330.9,0.23,17.54,2026-06-18T03:46:54:00Z
4,350,-21.033312,384.7,0.2,15.19,2026-06-18T03:47:48:00Z
4,400,-20.633827,438.7,0.17,13.43,2026-06-18T03:48:41:00Z
4,450,-20.204687,492.6,0.15,12.05,2026-06-18T03:49:35:00Z
4,500,-20.569433,546.5,0.14,10.96,2026-06-18T03:50:29:00Z
4,550,-21.777084,600.4,0.12,10.06,2026-06-18T03:51:23:00Z
4,600,-21.083006,654.4,0.11,9.31,2026-06-18T03:52:17:00Z
4,650,-21.485701,708.3,0.11,8.68,2026-06-18T03:53:11:00Z
4,700,-20.676449,762.2,0.1,8.13,2026-06-18T03:54:05:00Z
4,750,-21.652323,816.1,0.09,7.66,2026-06-18T03:54:59:00Z
4,800,-21.346577,870.0,0.09,7.25,2026-06-18T03:55:53:00Z
4,850,-21.267294,923.9,0.08,6.89,2026-06-18T03:56:47:00Z
4,900,-20.210327,977.8,0.08,6.57,2026-06-18T03:57:41:00Z
4,950,-19.738804,1031.6,0.07,6.28,2026-06-18T03:58:34:00Z
4,1000,-20.653078,1085.5,0.07,6.02,2026-06-18T03:59:28:00Z
