container,cpu_util_pct,mem_util_pct,timestamp_utc
job-bt13isouucbf8vf98omg,35.82,0.05,2026-06-18T02:13:38
job-bt13isouucbf8vf98omg,35.82,0.05,2026-06-18T02:13:42
job-bt13isouucbf8vf98omg,84.37,0.1,2026-06-18T02:13:48
job-bt13isouucbf8vf98omg,84.37,0.1,2026-06-18T02:13:52
job-bt13isouucbf8vf98omg,2.42,0.15,2026-06-18T02:13:58
job-bt13isouucbf8vf98omg,2.42,0.15,2026-06-18T02:14:02
job-bt13isouucbf8vf98omg,2.17,0.15,2026-06-18T02:14:08
job-bt13isouucbf8vf98omg,2.17,0.15,2026-06-18T02:14:12
job-bt13isouucbf8vf98omg,99.99,0.13,2026-06-18T02:14:18
job-bt13isouucbf8vf98omg,99.99,0.13,2026-06-18T02:14:22
job-bt13isouucbf8vf98omg,11.41,0.16,2026-06-18T02:14:28
job-bt13isouucbf8vf98omg,11.41,0.16,2026-06-18T02:14:32
job-bt13isouucbf8vf98omg,81.91,0.2,2026-06-18T02:14:38
job-bt13isouucbf8vf98omg,81.91,0.2,2026-06-18T02:14:42
job-bt13isouucbf8vf98omg,2.59,0.23,2026-06-18T02:14:48
job-bt13isouucbf8vf98omg,2.59,0.23,2026-06-18T02:14:52
job-bt13isouucbf8vf98omg,81.47,0.24,2026-06-18T02:14:58
job-bt13isouucbf8vf98omg,81.47,0.24,2026-06-18T02:15:02
job-bt13isouucbf8vf98omg,17.86,0.23,2026-06-18T02:15:08
job-bt13isouucbf8vf98omg,17.86,0.23,2026-06-18T02:15:12
job-bt13isouucbf8vf98omg,8.33,0.24,2026-06-18T02:15:18
job-bt13isouucbf8vf98omg,8.33,0.24,2026-06-18T02:15:22
job-bt13isouucbf8vf98omg,56.56,0.26,2026-06-18T02:15:28
job-bt13isouucbf8vf98omg,56.56,0.26,2026-06-18T02:15:32
job-bt13isouucbf8vf98omg,27.94,0.27,2026-06-18T02:15:38
job-bt13isouucbf8vf98omg,27.94,0.27,2026-06-18T02:15:42
job-bt13isouucbf8vf98omg,23.04,0.31,2026-06-18T02:15:48
job-bt13isouucbf8vf98omg,23.04,0.31,2026-06-18T02:15:52
job-bt13isouucbf8vf98omg,57.52,0.35,2026-06-18T02:15:58
job-bt13isouucbf8vf98omg,57.52,0.35,2026-06-18T02:16:02
job-bt13isouucbf8vf98omg,99.99,0.75,2026-06-18T02:16:08
job-bt13isouucbf8vf98omg,99.99,0.75,2026-06-18T02:16:12
job-bt13isouucbf8vf98omg,99.94,1.32,2026-06-18T02:16:18
job-bt13isouucbf8vf98omg,99.94,1.32,2026-06-18T02:16:22
job-bt13isouucbf8vf98omg,98.75,1.84,2026-06-18T02:16:28
job-bt13isouucbf8vf98omg,98.75,1.84,2026-06-18T02:16:32
job-bt13isouucbf8vf98omg,59.46,2.54,2026-06-18T02:16:38
job-bt13isouucbf8vf98omg,59.46,2.54,2026-06-18T02:16:42
